time,source,dest,direction,
1466417053,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466417369,00-17-0d-00-00-3f-f8-20,00-17-0d-00-00-b0-00-87,3,
1466417374,00-17-0d-00-00-58-32-36,00-17-0d-00-00-30-60-ef,3,
1466422604,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466423955,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466427854,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466430555,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466431904,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466433255,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466434604,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466437074,00-17-0d-00-00-60-03-82,00-17-0d-00-00-3f-fe-88,3,
1466440004,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466441354,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466444055,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466447054,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466448405,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466451105,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466454105,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466459805,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466462805,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466465506,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466469555,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466472255,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466476456,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466479456,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466480075,00-17-0d-00-00-58-32-36,00-17-0d-00-00-3f-fe-88,3,
1466480085,00-17-0d-00-00-58-32-36,00-17-0d-00-00-30-60-ef,3,
1466484705,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466488855,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466493106,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466495806,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466499856,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466501206,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466502557,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466506606,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466509306,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466512007,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466516057,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466518757,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466523105,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466523475,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,3,
1466524456,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466525807,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466528507,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466531207,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466532557,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466535182,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466536608,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466537874,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-87,3,
1466539307,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466545074,00-17-0d-00-00-60-02-1b,00-17-0d-00-00-60-08-d5,3,
1466546058,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466547408,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466554158,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466555508,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466559475,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-87,3,
1466562259,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466562441,00-17-0d-00-00-58-32-36,00-17-0d-00-00-3f-fe-88,3,
1466562560,00-17-0d-00-00-58-32-36,00-17-0d-00-00-b0-00-cc,3,
1466563608,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466564809,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466566008,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466569491,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466570808,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466572009,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466576809,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466578009,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466580409,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466585210,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466587609,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466588810,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466591209,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466592409,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466594810,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466597209,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466600809,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466602010,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466605610,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466609211,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466610409,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466611610,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466612810,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466615210,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466619663,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466622402,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466624275,00-17-0d-00-00-60-03-82,00-17-0d-00-00-30-60-ef,3,
1466624810,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466626010,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466630811,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466635612,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466639211,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466640411,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466641611,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466645212,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466646411,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466648811,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466649947,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466650874,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466651212,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466654812,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466655950,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466660811,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466662012,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466664411,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466666812,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466670412,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466671612,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466677477,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466678807,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466681876,00-17-0d-00-00-60-06-27,00-17-0d-00-00-b0-00-87,3,
1466693213,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466696813,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466698013,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466700414,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466701611,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466702814,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466705213,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466706413,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466708813,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466710014,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466711214,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466712413,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466716014,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466717214,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466717873,00-17-0d-00-00-60-03-82,00-17-0d-00-00-30-60-ef,3,
1466718414,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466724414,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466725476,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466731454,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466733766,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466736415,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466737282,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466738762,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466739742,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466742415,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466745950,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466747215,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466749615,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466751908,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466755615,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466758015,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466762815,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466765216,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466767615,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466771094,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466772116,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466774457,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466775311,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-3c-d9,3,
1466779616,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466781656,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466785432,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466788016,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466790416,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466795216,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466798816,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466800015,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466801217,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466803587,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466807187,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466809617,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466811477,00-17-0d-00-00-60-03-82,00-17-0d-00-00-30-60-ef,3,
1466814359,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466818676,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-3c-d9,3,
1466822818,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466824018,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
1466826399,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,3,
