time,source,dest,direction,
1479038562,00-17-0d-00-00-58-f9-c4,00-17-0d-00-00-58-f5-3c,3,
1479060162,00-17-0d-00-00-58-f8-8f,00-17-0d-00-00-58-eb-67,3,
1479067362,00-17-0d-00-00-58-f9-c4,00-17-0d-00-00-58-f8-8f,3,
1479074562,00-17-0d-00-00-58-eb-64,00-17-0d-00-00-58-f5-58,3,
1479096163,00-17-0d-00-00-58-eb-67,00-17-0d-00-00-38-00-63,3,
1479110563,00-17-0d-00-00-58-f8-8f,00-17-0d-00-00-58-f5-23,3,
1479116721,00-17-0d-00-00-58-f5-3c,00-17-0d-00-00-58-f4-f8,3,
1479117763,00-17-0d-00-00-58-f8-8f,00-17-0d-00-00-58-eb-67,3,
1479118046,00-17-0d-00-00-58-eb-67,00-17-0d-00-00-58-f5-58,3,
1479124963,00-17-0d-00-00-58-f3-17,00-17-0d-00-00-30-5d-39,3,
1479139363,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-eb-67,3,
1479146563,00-17-0d-00-00-58-e9-ca,00-17-0d-00-00-58-f8-8f,3,
1479153763,00-17-0d-00-00-58-eb-67,00-17-0d-00-00-58-e9-ca,3,
1479168163,00-17-0d-00-00-58-f9-c4,00-17-0d-00-00-38-03-dd,3,
1479175363,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,3,
1479189764,00-17-0d-00-00-58-eb-67,00-17-0d-00-00-58-f5-58,3,
1479232964,00-17-0d-00-00-58-f8-8f,00-17-0d-00-00-58-eb-67,3,
1479247364,00-17-0d-00-00-58-f8-8f,00-17-0d-00-00-58-eb-67,3,
1479254564,00-17-0d-00-00-58-f5-23,00-17-0d-00-00-58-eb-5b,3,
1479268964,00-17-0d-00-00-58-f4-f8,00-17-0d-00-00-58-eb-5b,3,
1479276164,00-17-0d-00-00-38-03-dd,00-17-0d-00-00-58-eb-67,3,
1479283364,00-17-0d-00-00-58-eb-5b,00-17-0d-00-00-58-f5-58,3,
1479293277,00-17-0d-00-00-58-f3-17,00-17-0d-00-00-38-00-63,3,
1479297765,00-17-0d-00-00-58-f4-f8,00-17-0d-00-00-58-eb-5b,3,
1479304965,00-17-0d-00-00-58-f5-3c,00-17-0d-00-00-30-5d-39,3,
