time,source,dest,direction,
1478106154,00-17-0d-00-00-58-eb-64,00-17-0d-00-00-58-f3-17,2,
1478113354,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-eb-5b,2,
1478134954,00-17-0d-00-00-58-e9-cb,00-17-0d-00-00-58-e9-ca,2,
1478142154,00-17-0d-00-00-58-e9-cb,00-17-0d-00-00-58-e9-ca,2,
1478156554,00-17-0d-00-00-38-03-dd,00-17-0d-00-00-38-00-63,2,
1478163754,00-17-0d-00-00-58-f3-17,00-17-0d-00-00-38-03-dd,2,
1478170954,00-17-0d-00-00-58-f5-3c,00-17-0d-00-00-38-03-dd,2,
1478185354,00-17-0d-00-00-58-f4-f8,00-17-0d-00-00-58-eb-64,2,
1478192554,00-17-0d-00-00-58-f5-3c,00-17-0d-00-00-58-f4-f8,2,
1478199754,00-17-0d-00-00-58-f9-c4,00-17-0d-00-00-58-e9-cb,2,
1478206954,00-17-0d-00-00-58-eb-5b,00-17-0d-00-00-58-f5-58,2,
1478214155,00-17-0d-00-00-58-e9-ca,00-17-0d-00-00-58-eb-67,2,
1478250155,00-17-0d-00-00-58-f5-23,00-17-0d-00-00-58-eb-67,2,
1478255679,00-17-0d-00-00-38-04-25,00-17-0d-00-00-58-f3-17,2,
1478257355,00-17-0d-00-00-58-eb-67,00-17-0d-00-00-38-04-25,2,
1478264555,00-17-0d-00-00-58-eb-5b,00-17-0d-00-00-58-f5-3c,2,
1478271609,00-17-0d-00-00-30-5d-39,00-17-0d-00-00-58-eb-64,3,
1478271755,00-17-0d-00-00-58-eb-5b,00-17-0d-00-00-58-f4-f8,2,
1478274582,00-17-0d-00-00-30-5d-39,00-17-0d-00-00-58-f3-17,3,
1478274936,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-eb-64,3,
1478275091,00-17-0d-00-00-58-f9-c4,00-17-0d-00-00-30-5d-39,2,
1478286155,00-17-0d-00-00-58-eb-64,00-17-0d-00-00-58-f5-3c,2,
1478293355,00-17-0d-00-00-58-eb-5b,00-17-0d-00-00-58-e9-cb,2,
1478314955,00-17-0d-00-00-38-03-dd,00-17-0d-00-00-38-00-63,2,
1478322155,00-17-0d-00-00-58-e9-cb,00-17-0d-00-00-58-eb-5b,2,
1478329355,00-17-0d-00-00-58-f5-3c,00-17-0d-00-00-58-e9-ca,2,
1478350956,00-17-0d-00-00-38-04-25,00-17-0d-00-00-58-f5-58,2,
1478358156,00-17-0d-00-00-58-eb-5b,00-17-0d-00-00-58-f5-58,2,
1478365356,00-17-0d-00-00-58-f3-17,00-17-0d-00-00-58-f5-23,2,
1478372556,00-17-0d-00-00-38-03-dd,00-17-0d-00-00-58-eb-64,2,
1478386956,00-17-0d-00-00-58-eb-64,00-17-0d-00-00-58-f3-17,2,
1478397818,00-17-0d-00-00-58-f5-23,00-17-0d-00-00-58-f5-58,2,
1478408556,00-17-0d-00-00-38-04-25,00-17-0d-00-00-58-f5-58,2,
1478415756,00-17-0d-00-00-58-f5-3c,00-17-0d-00-00-58-f8-8f,2,
1478422956,00-17-0d-00-00-38-04-25,00-17-0d-00-00-58-f5-58,2,
1478442090,00-17-0d-00-00-58-f5-23,00-17-0d-00-00-58-f5-58,2,
1478462641,00-17-0d-00-00-58-f5-23,00-17-0d-00-00-58-f5-58,2,
