time,mac,channel,rssi,txUnicastAttempts,txUnicastFailures,pdr,lat,long
1505665913,00-17-0d-00-00-38-00-63,11,-93,14,1,92.8571428571,48.84202,2.3845
1505665913,00-17-0d-00-00-38-00-63,25,-93,13,1,92.3076923077,48.84202,2.3845
1505665913,00-17-0d-00-00-38-00-63,13,-93,21,4,80.9523809524,48.84202,2.3845
1505665913,00-17-0d-00-00-38-00-63,12,-93,18,1,94.4444444444,48.84202,2.3845
1505665913,00-17-0d-00-00-38-00-63,20,-93,10,1,90.0,48.84202,2.3845
1505665913,00-17-0d-00-00-38-00-63,21,-93,15,1,93.3333333333,48.84202,2.3845
1505665913,00-17-0d-00-00-38-00-63,17,-93,20,3,85.0,48.84202,2.3845
1505665913,00-17-0d-00-00-38-00-63,16,-93,20,3,85.0,48.84202,2.3845
1505665913,00-17-0d-00-00-38-00-63,19,-93,23,7,69.5652173913,48.84202,2.3845
1505665913,00-17-0d-00-00-38-00-63,18,-93,18,1,94.4444444444,48.84202,2.3845
1505665913,00-17-0d-00-00-38-00-63,22,-93,22,2,90.9090909091,48.84202,2.3845
1505665913,00-17-0d-00-00-38-00-63,24,-93,17,4,76.4705882353,48.84202,2.3845
1505665913,00-17-0d-00-00-38-00-63,15,-93,7,0,100.0,48.84202,2.3845
1505665913,00-17-0d-00-00-38-00-63,14,-93,15,2,86.6666666667,48.84202,2.3845
1505665913,00-17-0d-00-00-38-00-63,23,-79,17,3,82.3529411765,48.84202,2.3845
1505667262,00-17-0d-00-00-38-00-63,11,-92,13,0,100.0,48.84202,2.3845
1505667262,00-17-0d-00-00-38-00-63,25,-86,14,0,100.0,48.84202,2.3845
1505667262,00-17-0d-00-00-38-00-63,13,-93,11,0,100.0,48.84202,2.3845
1505667262,00-17-0d-00-00-38-00-63,12,-93,15,0,100.0,48.84202,2.3845
1505667262,00-17-0d-00-00-38-00-63,20,-93,15,0,100.0,48.84202,2.3845
1505667262,00-17-0d-00-00-38-00-63,21,-93,15,2,86.6666666667,48.84202,2.3845
1505667262,00-17-0d-00-00-38-00-63,17,-93,13,0,100.0,48.84202,2.3845
1505667262,00-17-0d-00-00-38-00-63,16,-93,10,0,100.0,48.84202,2.3845
1505667262,00-17-0d-00-00-38-00-63,19,-93,9,0,100.0,48.84202,2.3845
1505667262,00-17-0d-00-00-38-00-63,18,-93,15,0,100.0,48.84202,2.3845
1505667262,00-17-0d-00-00-38-00-63,22,-92,10,1,90.0,48.84202,2.3845
1505667262,00-17-0d-00-00-38-00-63,24,-90,10,0,100.0,48.84202,2.3845
1505667262,00-17-0d-00-00-38-00-63,15,-93,13,0,100.0,48.84202,2.3845
1505667262,00-17-0d-00-00-38-00-63,14,-93,9,0,100.0,48.84202,2.3845
1505667262,00-17-0d-00-00-38-00-63,23,-92,13,0,100.0,48.84202,2.3845
1505668618,00-17-0d-00-00-38-00-63,11,-88,9,0,100.0,48.84202,2.3845
1505668618,00-17-0d-00-00-38-00-63,25,-75,12,0,100.0,48.84202,2.3845
1505668618,00-17-0d-00-00-38-00-63,13,-89,13,0,100.0,48.84202,2.3845
1505668618,00-17-0d-00-00-38-00-63,12,-93,8,0,100.0,48.84202,2.3845
1505668618,00-17-0d-00-00-38-00-63,20,-92,7,0,100.0,48.84202,2.3845
1505668618,00-17-0d-00-00-38-00-63,21,-59,9,0,100.0,48.84202,2.3845
1505668618,00-17-0d-00-00-38-00-63,17,-93,13,0,100.0,48.84202,2.3845
1505668618,00-17-0d-00-00-38-00-63,16,-93,8,0,100.0,48.84202,2.3845
1505668618,00-17-0d-00-00-38-00-63,19,-89,17,3,82.3529411765,48.84202,2.3845
1505668618,00-17-0d-00-00-38-00-63,18,-90,17,1,94.1176470588,48.84202,2.3845
1505668618,00-17-0d-00-00-38-00-63,22,-56,12,0,100.0,48.84202,2.3845
1505668618,00-17-0d-00-00-38-00-63,24,-55,21,0,100.0,48.84202,2.3845
1505668618,00-17-0d-00-00-38-00-63,15,-91,13,0,100.0,48.84202,2.3845
1505668618,00-17-0d-00-00-38-00-63,14,-92,11,0,100.0,48.84202,2.3845
1505668618,00-17-0d-00-00-38-00-63,23,-52,16,1,93.75,48.84202,2.3845
1505669962,00-17-0d-00-00-38-00-63,11,-93,13,0,100.0,48.84202,2.3845
1505669962,00-17-0d-00-00-38-00-63,25,-93,9,1,88.8888888889,48.84202,2.3845
1505669962,00-17-0d-00-00-38-00-63,13,-93,19,1,94.7368421053,48.84202,2.3845
1505669962,00-17-0d-00-00-38-00-63,12,-93,25,7,72.0,48.84202,2.3845
1505669962,00-17-0d-00-00-38-00-63,20,-93,19,4,78.9473684211,48.84202,2.3845
1505669962,00-17-0d-00-00-38-00-63,21,-93,11,2,81.8181818182,48.84202,2.3845
1505669962,00-17-0d-00-00-38-00-63,17,-93,10,1,90.0,48.84202,2.3845
1505669962,00-17-0d-00-00-38-00-63,16,-89,14,3,78.5714285714,48.84202,2.3845
1505669962,00-17-0d-00-00-38-00-63,19,-93,19,7,63.1578947368,48.84202,2.3845
1505669962,00-17-0d-00-00-38-00-63,18,-88,18,0,100.0,48.84202,2.3845
1505669962,00-17-0d-00-00-38-00-63,22,-93,16,8,50.0,48.84202,2.3845
1505669962,00-17-0d-00-00-38-00-63,24,-90,16,14,12.5,48.84202,2.3845
1505669962,00-17-0d-00-00-38-00-63,15,-93,14,0,100.0,48.84202,2.3845
1505669962,00-17-0d-00-00-38-00-63,14,-93,13,0,100.0,48.84202,2.3845
1505669962,00-17-0d-00-00-38-00-63,23,-93,19,13,31.5789473684,48.84202,2.3845
1505671312,00-17-0d-00-00-38-00-63,11,-92,14,0,100.0,48.84202,2.3845
1505671312,00-17-0d-00-00-38-00-63,25,-93,14,0,100.0,48.84202,2.3845
1505671312,00-17-0d-00-00-38-00-63,13,-93,12,0,100.0,48.84202,2.3845
1505671312,00-17-0d-00-00-38-00-63,12,-93,14,1,92.8571428571,48.84202,2.3845
1505671312,00-17-0d-00-00-38-00-63,20,-93,14,0,100.0,48.84202,2.3845
1505671312,00-17-0d-00-00-38-00-63,21,-93,15,0,100.0,48.84202,2.3845
1505671312,00-17-0d-00-00-38-00-63,17,-93,15,0,100.0,48.84202,2.3845
1505671312,00-17-0d-00-00-38-00-63,16,-93,13,0,100.0,48.84202,2.3845
1505671312,00-17-0d-00-00-38-00-63,19,-93,10,0,100.0,48.84202,2.3845
1505671312,00-17-0d-00-00-38-00-63,18,-89,10,0,100.0,48.84202,2.3845
1505671312,00-17-0d-00-00-38-00-63,22,-90,13,1,92.3076923077,48.84202,2.3845
1505671312,00-17-0d-00-00-38-00-63,24,-93,7,0,100.0,48.84202,2.3845
1505671312,00-17-0d-00-00-38-00-63,15,-93,14,0,100.0,48.84202,2.3845
1505671312,00-17-0d-00-00-38-00-63,14,-93,9,0,100.0,48.84202,2.3845
1505671312,00-17-0d-00-00-38-00-63,23,-93,11,0,100.0,48.84202,2.3845
1505672662,00-17-0d-00-00-38-00-63,11,-93,12,0,100.0,48.84202,2.3845
1505672662,00-17-0d-00-00-38-00-63,25,-93,11,0,100.0,48.84202,2.3845
1505672662,00-17-0d-00-00-38-00-63,13,-93,15,0,100.0,48.84202,2.3845
1505672662,00-17-0d-00-00-38-00-63,12,-93,11,0,100.0,48.84202,2.3845
1505672662,00-17-0d-00-00-38-00-63,20,-93,11,0,100.0,48.84202,2.3845
1505672662,00-17-0d-00-00-38-00-63,21,-93,11,0,100.0,48.84202,2.3845
1505672662,00-17-0d-00-00-38-00-63,17,-93,12,0,100.0,48.84202,2.3845
1505672662,00-17-0d-00-00-38-00-63,16,-93,10,0,100.0,48.84202,2.3845
1505672662,00-17-0d-00-00-38-00-63,19,-93,13,0,100.0,48.84202,2.3845
1505672662,00-17-0d-00-00-38-00-63,18,-93,14,0,100.0,48.84202,2.3845
1505672662,00-17-0d-00-00-38-00-63,22,-92,12,0,100.0,48.84202,2.3845
1505672662,00-17-0d-00-00-38-00-63,24,-93,13,0,100.0,48.84202,2.3845
1505672662,00-17-0d-00-00-38-00-63,15,-93,12,0,100.0,48.84202,2.3845
1505672662,00-17-0d-00-00-38-00-63,14,-93,12,0,100.0,48.84202,2.3845
1505672662,00-17-0d-00-00-38-00-63,23,-87,14,1,92.8571428571,48.84202,2.3845
1505674012,00-17-0d-00-00-38-00-63,11,-92,14,0,100.0,48.84202,2.3845
1505674012,00-17-0d-00-00-38-00-63,25,-93,10,0,100.0,48.84202,2.3845
1505674012,00-17-0d-00-00-38-00-63,13,-92,13,0,100.0,48.84202,2.3845
1505674012,00-17-0d-00-00-38-00-63,12,-93,14,0,100.0,48.84202,2.3845
1505674012,00-17-0d-00-00-38-00-63,20,-93,8,0,100.0,48.84202,2.3845
1505674012,00-17-0d-00-00-38-00-63,21,-93,9,1,88.8888888889,48.84202,2.3845
1505674012,00-17-0d-00-00-38-00-63,17,-93,16,0,100.0,48.84202,2.3845
1505674012,00-17-0d-00-00-38-00-63,16,-93,16,0,100.0,48.84202,2.3845
1505674012,00-17-0d-00-00-38-00-63,19,-93,7,0,100.0,48.84202,2.3845
1505674012,00-17-0d-00-00-38-00-63,18,-93,17,0,100.0,48.84202,2.3845
1505674012,00-17-0d-00-00-38-00-63,22,-89,13,0,100.0,48.84202,2.3845
1505674012,00-17-0d-00-00-38-00-63,24,-91,11,0,100.0,48.84202,2.3845
1505674012,00-17-0d-00-00-38-00-63,15,-93,8,0,100.0,48.84202,2.3845
1505674012,00-17-0d-00-00-38-00-63,14,-93,10,0,100.0,48.84202,2.3845
1505674012,00-17-0d-00-00-38-00-63,23,-93,17,0,100.0,48.84202,2.3845
1505675362,00-17-0d-00-00-38-00-63,11,-93,14,0,100.0,48.84202,2.3845
1505675362,00-17-0d-00-00-38-00-63,25,-93,14,0,100.0,48.84202,2.3845
1505675362,00-17-0d-00-00-38-00-63,13,-93,11,0,100.0,48.84202,2.3845
1505675362,00-17-0d-00-00-38-00-63,12,-92,15,0,100.0,48.84202,2.3845
1505675362,00-17-0d-00-00-38-00-63,20,-93,14,0,100.0,48.84202,2.3845
1505675362,00-17-0d-00-00-38-00-63,21,-93,16,1,93.75,48.84202,2.3845
1505675362,00-17-0d-00-00-38-00-63,17,-93,16,0,100.0,48.84202,2.3845
1505675362,00-17-0d-00-00-38-00-63,16,-91,15,1,93.3333333333,48.84202,2.3845
1505675362,00-17-0d-00-00-38-00-63,19,-93,8,0,100.0,48.84202,2.3845
1505675362,00-17-0d-00-00-38-00-63,18,-91,8,0,100.0,48.84202,2.3845
