time,mac,neighborMac,neighborFlag,rssi,numTxPackets,numTxFailures,numRxPackets,mote_board,ngbr_board,distance
1478099140,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-eb-5b,0,-68,67,8,1,huron,huron,13.90469964
1478099140,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-32,0,0,14,huron,huron,0.094935297966
1478100040,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-eb-5b,0,-69,74,10,2,huron,huron,13.90469964
1478100040,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,27,huron,huron,0.094935297966
1478100942,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-eb-5b,0,-72,76,12,2,huron,huron,13.90469964
1478100942,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-41,0,0,27,huron,huron,0.094935297966
1478101840,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-eb-5b,0,-70,70,8,1,huron,huron,13.90469964
1478101840,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-42,0,0,30,huron,huron,0.094935297966
1478102741,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-eb-5b,0,-71,66,4,2,huron,huron,13.90469964
1478102741,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-36,0,0,29,huron,huron,0.094935297966
1478103640,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-eb-5b,0,-68,70,6,1,huron,huron,13.90469964
1478103640,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-34,0,0,37,huron,huron,0.094935297966
1478104540,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-eb-5b,0,-66,72,8,2,huron,huron,13.90469964
1478104540,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-34,0,0,37,huron,huron,0.094935297966
1478105441,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-eb-5b,0,-72,77,14,2,huron,huron,13.90469964
1478105441,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,38,huron,huron,0.094935297966
1478106341,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-eb-5b,0,-69,67,4,2,huron,huron,13.90469964
1478106341,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,39,huron,huron,0.094935297966
1478107240,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-eb-5b,0,-70,72,11,1,huron,huron,13.90469964
1478107240,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-36,0,0,33,huron,huron,0.094935297966
1478108140,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-eb-5b,0,-75,74,13,1,huron,huron,13.90469964
1478108140,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-35,0,0,43,huron,huron,0.094935297966
1478109040,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-eb-5b,0,-69,67,5,2,huron,huron,13.90469964
1478109040,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-35,0,0,34,huron,huron,0.094935297966
1478109941,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-eb-5b,0,-69,63,3,2,huron,huron,13.90469964
1478109941,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-63,14,1,1,huron,huron,3.41503261698
1478109941,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-34,0,0,38,huron,huron,0.094935297966
1478110841,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-eb-5b,0,-72,70,8,2,huron,huron,13.90469964
1478110841,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-59,61,1,2,huron,huron,3.41503261698
1478110841,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,41,huron,huron,0.094935297966
1478111740,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-eb-5b,0,-70,68,8,1,huron,huron,13.90469964
1478111740,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-59,62,1,1,huron,huron,3.41503261698
1478111740,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,42,huron,huron,0.094935297966
1478112641,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-eb-5b,0,-69,65,6,2,huron,huron,13.90469964
1478112641,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-58,61,1,1,huron,huron,3.41503261698
1478112641,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-36,0,0,42,huron,huron,0.094935297966
1478113541,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,64,3,2,huron,huron,3.41503261698
1478113541,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-34,0,0,39,huron,huron,0.094935297966
1478114442,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,64,4,2,huron,huron,3.41503261698
1478114442,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-37,0,0,37,huron,huron,0.094935297966
1478115342,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-61,64,2,1,huron,huron,3.41503261698
1478115342,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-35,0,0,32,huron,huron,0.094935297966
1478116240,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-62,61,0,2,huron,huron,3.41503261698
1478116240,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-35,0,0,37,huron,huron,0.094935297966
1478117142,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-57,66,5,2,huron,huron,3.41503261698
1478117142,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,34,huron,huron,0.094935297966
1478118041,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-57,65,3,2,huron,huron,3.41503261698
1478118041,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,42,huron,huron,0.094935297966
1478118943,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,64,4,2,huron,huron,3.41503261698
1478118943,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-36,0,0,25,huron,huron,0.094935297966
1478119842,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,66,4,1,huron,huron,3.41503261698
1478119842,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-35,0,0,35,huron,huron,0.094935297966
1478120740,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-61,65,4,2,huron,huron,3.41503261698
1478120740,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-37,0,0,34,huron,huron,0.094935297966
1478121642,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-59,64,3,2,huron,huron,3.41503261698
1478121642,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,33,huron,huron,0.094935297966
1478122541,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,65,2,2,huron,huron,3.41503261698
1478122541,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,35,huron,huron,0.094935297966
1478123443,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-57,65,5,2,huron,huron,3.41503261698
1478123443,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,33,huron,huron,0.094935297966
1478124342,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-58,68,6,1,huron,huron,3.41503261698
1478124342,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-32,0,0,38,huron,huron,0.094935297966
1478125241,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,65,4,2,huron,huron,3.41503261698
1478125241,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-36,0,0,26,huron,huron,0.094935297966
